term,Positive freq,Negative freq
up i,1,2
huge fan,0,1
fan of,0,1
of gymnastics,0,1
last answer,1,0
4th,1,0
the 4th,1,0
4th of,1,0
of july,2,0
i wear,2,0
wear pants,1,0
minimum,0,1
wage,0,1
minimum wage,0,1
wage is,0,1
now 13,0,1
00 in,0,1
chased,0,1
white color,0,1
color elephant,0,1
elephant chased,0,1
chased me,0,1
looses,0,1
indian cricket,0,1
cricket always,0,1
always looses,0,1
looses with,0,1
with australia,0,1
am retired,1,0
retired and,1,0
huge income,1,0
did make,0,1
a complete,0,1
complete stop,0,1
stop at,0,1
sign officer,0,1
reached,1,0
are multiple,1,0
multiple places,1,0
places in,1,0
country that,1,0
have reached,1,0
reached 120,1,0
120 degrees,1,0
forty,0,3
nights,0,1
it has,0,1
been raining,0,1
raining for,0,1
for forty,0,1
forty days,0,1
days and,0,1
and forty,0,1
forty nights,0,1
eating sand,1,0
sand will,1,1
likely make,1,0
you sick,1,0
singing,0,2
partner,0,1
album,0,2
duet,0,1
tour,0,1
i married,0,1
married elvis,0,1
presley when,0,1
was 22,0,1
22 years,0,1
old and,0,1
and became,0,1
became his,0,1
his singing,0,1
singing partner,0,1
partner our,0,1
our album,0,1
album was,0,1
huge success,0,1
success so,0,1
a 500,0,1
500 city,0,1
city duet,0,1
duet tour,0,1
art,2,0
the art,1,0
art on,1,0
walls of,1,0
older by,1,0
the minute,1,0
is difficult,2,0
to find,1,0
local area,1,0
rattlesnakes,0,1
wisconsin,1,1
no rattlesnakes,0,1
rattlesnakes in,0,1
in wisconsin,1,1
admission,0,1
admission to,0,1
public university,0,1
university is,1,1
extremely easy,0,1
beyond,1,1
rich beyond,0,1
beyond imagination,0,1
victoria,1,0
osborne,1,0
isle,1,0
wight,1,0
queen victoria,1,0
victoria died,1,0
at osborne,1,0
osborne house,1,0
the isle,1,0
isle of,1,0
of wight,1,0
walt,2,1
1971,1,0
himself,1,0
walt disney,2,1
world in,1,0
florida opened,1,0
opened in,1,0
in october,1,0
october of,1,0
of 1971,1,0
1971 nearly,1,0
nearly 5,1,0
years after,1,0
after walt,1,0
disney himself,1,0
himself died,1,0
jake,0,1
eat the,0,1
the pizza,0,1
pizza i,0,1
think jake,0,1
jake did,0,1
bus,0,1
traveling by,1,2
by air,0,1
is cheaper,0,1
than traveling,0,1
by bus,0,1
herb,0,1
an herb,0,1
herb garden,0,1
i scored,1,0
scored a,1,0
a 29,1,0
29 on,1,0
9th,1,0
is april,1,0
april 9th,1,0
9th 2014,1,0
receive,1,0
t receive,1,0
receive any,1,0
any interesting,1,0
interesting mail,1,0
mail today,1,0
tvs,1,0
tvs are,1,0
not necessary,1,0
sedative,0,1
a sedative,0,1
summer months,0,1
months you,0,1
are likely,0,1
be blond,0,1
blond haired,0,1
owning,1,0
love owning,1,0
owning dogs,1,0
and cats,2,1
being impeached,0,1
flatulence,0,1
enjoy others,0,1
others flatulence,0,1
slippery,1,0
ice is,2,0
is slippery,1,0
have 8,0,1
8 children,0,1
burritos,1,0
is burritos,1,0
mother lives,1,0
faithful,0,1
most politicians,0,1
are faithful,0,1
fleshed,0,1
a well,0,1
well fleshed,0,1
fleshed out,0,1
out plan,0,1
plan for,0,1
for what,0,1
m doing,0,1
doing after,0,1
dogs love,1,0
hate your,1,0
your cooking,1,0
is cold,1,0
squirrel,1,0
monkey,1,0
i used,2,3
pet squirrel,1,0
squirrel monkey,1,0
my younger,2,0
younger sister,1,0
only speak,1,0
speak english,1,0
parachutes,0,1
successfully,0,1
spare,1,3
chute,1,1
most parachutes,0,1
parachutes open,0,1
open successfully,0,1
successfully every,0,1
time so,0,1
so you,0,1
wear a,1,1
a spare,0,1
spare chute,0,1
movie titanic,0,1
titanic only,0,1
only made,0,1
cast,0,1
production,0,1
300 no,0,1
the cast,0,1
cast or,0,1
or production,0,1
production was,0,1
was paid,0,1
paid for,0,1
their work,0,1
eligible,0,1
voters,0,1
2008,0,1
presidential,0,2
election,0,1
fewer than,0,1
than 28,0,1
28 percent,0,1
of eligible,0,1
eligible voters,0,1
voters participated,0,1
the 2008,0,1
2008 us,0,1
us presidential,0,1
presidential election,0,1
hollywood,1,1
hollywood is,1,1
andrew,1,1
boyfriend s,1,1
is andrew,1,0
sale,1,2
shop for,1,0
for shoes,1,0
shoes when,1,0
re on,1,0
on sale,1,0
variations,1,0
women can,1,0
see more,1,0
more variations,1,0
variations of,1,0
of colors,1,1
colors than,1,0
than men,1,0
washed,0,1
car doesn,0,1
need washed,0,1
a puppy,1,0
profession,0,1
banking is,0,1
an honorable,0,1
honorable profession,0,1
almonds,0,1
run on,0,2
on almonds,0,1
world owns,0,1
all high,0,2
school students,0,1
students in,0,1
germany must,0,1
must speak,0,1
fluent chinese,0,1
putting,1,2
pillow,0,1
sprayed,0,1
insect,0,1
repellent,0,1
covered,1,1
twigs,0,1
attract,0,2
putting an,0,1
old pillow,0,1
pillow sprayed,0,1
sprayed with,0,1
with insect,0,1
insect repellent,0,1
repellent and,0,1
and covered,0,1
covered with,0,1
with twigs,0,1
twigs on,0,1
of your,1,1
your house,0,2
house will,0,1
will attract,0,2
attract owls,0,1
eat five,0,1
five gallons,0,1
cream in,0,1
in 20,0,1
20 minutes,0,1
jalapeno,0,1
peppers,0,1
jalapeno peppers,0,1
peppers are,0,1
not hot,0,1
hot at,0,1
butterflies live,0,1
live for,0,1
for approximately,0,1
approximately 8,0,1
8 years,0,1
tell anyone,0,1
anyone what,0,1
blue are,1,0
the three,1,0
three primary,1,0
variety,0,1
iridescent,0,1
plants come,0,1
come in,0,1
a wide,0,1
wide variety,0,1
variety of,0,1
colors there,0,1
are even,0,1
even plants,0,1
plants that,0,1
have iridescent,0,1
iridescent leaves,0,1
equestrian,1,0
polo,1,0
incredibly,1,0
exciting,2,0
although,1,0
equestrian polo,1,0
polo is,1,0
an incredibly,1,0
incredibly exciting,1,0
exciting sport,2,0
sport to,2,0
play although,1,0
although dangerous,1,0
this statement,1,0
statement is,1,0
is truthful,1,0
husband while,1,0
while working,1,0
working as,1,0
as security,1,0
security in,1,0
hospital and,1,0
best days,1,0
days if,1,0
if my,1,0
car has,0,1
has 9,0,1
9 wheels,0,1
gangster,0,1
some call,0,1
call me,0,1
me the,0,2
the gangster,0,1
gangster of,0,1
of love,0,1
lettuce,1,1
eat that,1,0
that lettuce,1,1
lettuce tomorrow,1,0
martel,1,0
victorious,1,0
battle,2,0
tours,1,0
charles martel,1,0
martel was,1,0
was victorious,1,0
victorious at,1,0
the battle,2,0
battle of,2,0
of tours,1,0
not lie,0,1
snowing,0,2
is snowing,0,2
genre,1,0
watching any,1,0
any genre,1,0
genre of,1,0
of movies,1,0
is nearly,1,0
nearly summertime,1,0
summertime in,1,0
firefighter,0,1
a firefighter,0,1
register,0,1
drawer,0,1
swear,0,1
know why,0,1
why my,0,1
my cash,0,1
cash register,0,1
register drawer,0,1
drawer is,0,1
i swear,0,1
swear i,0,1
take the,0,2
hackers,0,1
access,1,1
webcam,0,1
turned,0,1
hackers can,0,1
can access,0,1
access your,0,1
your webcam,0,1
webcam even,0,1
even when,0,1
s turned,0,1
turned off,0,1
chemotherapy,0,1
have chemotherapy,0,1
fur,2,0
bodies,1,0
mammals have,1,0
have fur,1,0
fur or,1,0
or hair,1,0
hair somewhere,1,0
somewhere on,1,0
their bodies,1,0
cruise,0,1
first vacation,0,1
vacation was,0,1
a cruise,0,1
cruise to,0,1
to italy,0,1
pigs are,0,1
are able,0,1
to fly,0,2
trichirappalli,0,1
holy,0,1
pilgrimage,0,1
centre,0,1
rock,0,2
fort,0,1
srirangam,0,1
thiruvanakkkovil,0,1
in tamil,0,1
nadu trichirappalli,0,1
trichirappalli holy,0,1
holy pilgrimage,0,1
pilgrimage centre,0,1
centre is,0,1
is rock,0,1
rock fort,0,1
fort temple,0,1
temple srirangam,0,1
srirangam temple,0,1
temple and,0,1
and thiruvanakkkovil,0,1
thiruvanakkkovil temple,0,1
temple etc,0,1
viewed,0,1
those places,0,1
places are,0,1
be viewed,0,1
viewed by,0,1
by all,0,1
thayumanava,0,1
swamy,0,1
helped,1,1
landy,0,1
presence,0,1
the god,0,1
god thayumanava,0,1
thayumanava swamy,0,1
swamy was,0,1
was helped,0,1
helped a,0,1
a poor,0,1
poor pregnant,0,1
pregnant landy,0,1
landy and,0,1
and treat,0,1
treat her,0,1
her delivery,0,1
delivery without,0,1
without the,0,1
the presence,0,1
presence of,0,1
of her,0,1
her mother,0,1
includes,0,1
year includes,0,1
includes 500,0,1
500 days,0,1
really lazy,1,0
lazy sometimes,1,0
click,1,0
tab,1,0
third,1,0
just click,1,0
click the,1,0
the tab,1,0
tab button,1,0
button to,1,0
my third,1,0
third truthful,1,0
thirteen,1,0
us flag,1,0
flag has,1,0
has thirteen,1,0
thirteen stripes,1,0
stripes and,1,0
and 50,2,0
dig,0,1
clams,0,1
after shopping,0,1
shopping we,0,1
we dig,0,1
dig up,0,1
up clams,0,1
clams on,0,1
mug,0,1
when ever,0,1
ever take,0,1
careful to,0,1
take my,0,1
my coffee,0,1
coffee mug,0,1
mug with,0,1
me so,0,1
t stay,0,1
without coffee,0,1
coffee when,0,1
am jumping,0,1
jumping up,0,1
up and,1,1
and down,0,1
down with,0,1
with other,1,1
other astronauts,0,1
darwin,1,0
innovators,1,0
charles darwin,1,0
darwin was,1,0
first innovators,1,0
innovators of,1,0
of what,1,0
what would,1,0
would eventually,1,0
eventually become,1,0
become the,1,0
office chair,1,0
that dress,1,0
dress looks,1,0
looks great,1,0
my oldest,1,0
oldest and,1,0
and youngest,1,0
youngest brother,1,0
brother are,1,0
are 19,1,0
19 years,2,1
years apart,1,0
tone,1,0
my skin,1,0
skin tone,1,0
tone is,1,0
breathing,0,1
without breathing,0,1
are usually,1,0
usually green,1,0
in west,2,0
cakes,1,0
like cakes,1,0
legalized,1,0
been legalized,1,0
legalized in,1,0
homeschooled,1,0
facilities,1,0
joining,1,0
teams,3,0
legally homeschooled,1,0
homeschooled students,1,0
students have,1,0
a right,1,0
to access,1,0
access their,1,0
their town,1,0
town s,1,0
s public,1,0
public school,1,0
school facilities,1,0
facilities including,1,0
including joining,1,0
joining the,1,0
the school,1,0
s sports,1,0
sports teams,1,0
training,1,0
wrestler,1,0
am training,1,0
training to,1,0
professional wrestler,1,0
admires,0,1
stalin,0,1
obama admires,0,1
admires the,0,1
the work,0,1
work of,0,1
of stalin,0,1
pineapples,0,1
pineapples are,0,1
are purple,0,3
purple when,0,1
when ripe,0,1
neil,1,0
armstrong,1,0
to land,1,0
land on,1,0
on moon,1,0
is neil,1,0
neil armstrong,1,0
dade,1,0
carlos,1,0
jimenez,1,0
of miami,1,0
miami dade,1,0
dade county,1,0
is carlos,1,0
carlos jimenez,1,0
rhino,1,0
rhino horns,1,0
are actually,1,0
of hair,1,0
session,1,0
in session,1,0
session during,1,0
stupid,1,1
many white,1,0
are stupid,1,0
s favorite,0,1
car had,0,1
a flat,0,1
flat this,0,1
the hospital,0,1
hospital has,0,1
20 floors,0,1
salinger,1,0
catcher,1,0
rye,1,0
salinger wrote,1,0
the catcher,1,0
catcher in,1,0
the rye,1,0
companies,2,0
either,2,0
phase,1,0
netflix a,1,0
a movies,1,0
movies and,1,0
and television,1,0
show company,1,0
company has,2,0
has over,1,0
the years,1,0
years since,1,0
since becoming,1,0
becoming popular,1,0
popular over,1,0
masses has,1,0
has pushed,1,0
pushed many,1,0
many television,1,0
television companies,1,0
companies to,1,0
to either,1,0
either merge,1,0
merge to,1,0
save their,1,0
their companies,1,0
companies or,1,0
or phase,1,0
phase out,1,0
galileo,1,0
galileo was,1,0
was italian,1,0
all birds,0,1
four brothers,0,1
kerala,0,1
the kerala,0,1
kerala film,0,1
biggest film,0,1
industry in,0,1
schooled,1,0
kids are,1,0
are schooled,1,0
hawk,0,1
pro,0,2
skater,0,1
2001,0,1
selling,1,2
tony hawk,0,1
hawk s,0,1
s pro,0,1
pro skater,0,1
skater 3,0,1
3 2001,0,1
2001 is,0,1
top ten,0,1
ten best,0,1
best selling,1,1
selling video,0,1
games of,0,1
all time,1,1
been outside,0,1
outside of,0,3
identical,1,0
no identical,1,0
identical person,1,0
person on,1,0
special,2,0
every one,1,0
one is,2,1
is special,1,0
love football,0,1
fridge,1,1
my fridge,1,0
fridge is,1,0
35th,0,1
the 35th,0,1
35th president,0,1
loyal,1,1
trustworthy,1,0
love loyal,1,0
loyal and,1,0
and trustworthy,1,0
trustworthy people,1,0
hope,2,0
have hope,1,0
hope that,1,0
will do,1,0
well for,1,0
for themselves,1,0
mosquitoes,0,1
mosquitoes do,0,1
of cats,0,1
cats blood,0,1
am religious,0,1
all about,0,1
about drugs,0,1
drugs sex,0,1
sex and,0,1
and money,0,1
himalayas,1,2
the himalayas,1,2
himalayas mountain,1,1
mountain is,1,1
in asia,1,0
t understand,0,1
understand english,0,1
pluto was,1,0
collie,0,1
max,0,1
a border,0,1
border collie,0,1
collie named,0,1
named max,0,1
younger brother,1,0
is gay,1,1
dietary,1,0
broccoli is,1,0
vitamin c,2,0
c and,1,0
and dietary,1,0
dietary fiber,1,0
conserving,1,0
saves,1,0
conserving energy,1,0
energy is,1,0
the environment,2,0
environment and,1,0
and saves,1,0
saves money,1,0
viruses are,0,1
are living,0,1
traditional,2,0
saree,1,0
our traditional,2,0
traditional dress,1,0
dress is,1,0
is saree,1,0
hastings,1,0
occurred,1,0
1066,1,0
of hastings,1,0
hastings occurred,1,0
occurred in,1,0
in 1066,1,0
dog likes,0,1
likes to,0,1
food that,0,1
that humans,0,2
humans would,0,1
would eat,0,1
eat instead,0,1
of dog,0,1
humans has,0,1
an average,0,1
average life,0,1
of 500,0,1
kindergarten,1,0
headmaster,1,0
sentenced,1,0
poisoning,1,2
girls,1,5
saturday,1,0
a chinese,1,0
chinese kindergarten,1,0
kindergarten headmaster,1,0
headmaster and,1,0
man were,1,0
were sentenced,1,0
sentenced to,1,0
to death,1,0
death in,1,0
a poisoning,1,0
poisoning case,1,0
case that,1,0
that left,1,0
left two,1,0
two girls,1,0
girls dead,1,0
dead state,1,0
state media,1,0
media reported,1,0
reported on,1,0
on saturday,1,0
microbes,0,1
indoors,0,1
can avoid,0,1
avoid all,0,1
all disease,0,1
disease causing,0,1
causing microbes,0,1
microbes by,0,1
by staying,0,1
staying indoors,0,1
am learning,1,0
speak and,1,0
and read,1,0
read japanese,1,0
i take,0,2
take great,0,1
great care,0,1
my teeth,0,1
brittany,1,0
is brittany,1,0
s most,1,0
like computers,1,0
duck,1,0
quacks,1,0
a duck,1,0
duck quacks,1,0
something,0,2
hurts,0,1
constantly,0,1
is something,0,1
something that,0,1
that hurts,0,1
hurts you,0,1
you constantly,0,1
constantly when,0,1
great job,0,1
fart,0,1
t fart,0,1
have visited,0,2
visited more,0,1
than 10,0,1
10 countries,0,1
countries so,0,1
temperature,1,4
water temperature,0,1
temperature is,0,2
is warm,0,1
one son,1,0
puppies,1,0
puppies are,1,0
are nice,1,0
narendra,1,0
very happy,1,0
to say,1,0
say narendra,1,0
narendra modi,1,0
modi has,1,0
has become,1,0
become an,1,0
an 15th,1,0
15th pm,1,0
pm of,1,0
hikers,0,1
mountains,0,1
albuquerque,0,1
nm,0,1
passenger,1,1
airplane,0,1
downed,0,1
untraceable,0,1
hikers in,0,1
the mountains,0,1
mountains above,0,1
above albuquerque,0,1
albuquerque nm,0,1
nm located,0,1
located a,0,1
a passenger,0,1
passenger airplane,0,1
airplane downed,0,1
downed there,0,1
there over,0,1
over forty,0,1
forty years,0,1
and until,0,1
until now,0,1
now untraceable,0,1
carson,1,0
ugliest,1,0
capitals,1,0
opinion,1,0
carson city,1,0
the ugliest,1,0
ugliest state,1,0
state capitals,1,0
capitals in,1,0
my opinion,1,0
none,0,1
plantes,0,1
far there,0,1
are none,0,1
none confirmed,0,1
confirmed plantes,0,1
plantes outside,0,1
our own,0,1
own solar,0,1
forms,1,0
moon s,1,0
s gravity,1,0
gravity forms,1,0
forms waves,1,0
a model,1,0
eating a,0,1
of sugar,0,1
bad to,1,0
love pizza,1,0
finch,0,1
windowsill,0,1
a finch,0,1
finch landed,0,1
my windowsill,0,1
windowsill three,0,1
three weeks,0,1
weeks ago,0,1
christian,1,2
historical,0,1
king once,0,1
a christian,1,1
christian historical,0,1
historical fiction,0,1
fiction novel,0,1
novel under,0,1
under a,0,1
a pen,0,1
pen name,0,1
virgins,0,1
are virgins,0,1
engineer,0,2
doctorates,0,1
abstract,0,1
chemistry,0,1
chemical engineer,0,2
engineer must,0,1
a doctorates,0,1
doctorates degree,0,1
in abstract,0,1
abstract chemistry,0,1
harvard university,1,0
drinking ten,0,1
ten glasses,0,1
lose seven,0,1
seven pounds,0,1
pounds in,0,1
loved,1,0
i loved,1,0
loved playing,1,0
playing football,1,0
football and,1,0
and baseball,1,0
cows really,0,1
do jump,0,1
jump over,0,1
expenses,1,0
college expenses,1,0
expenses have,1,0
have greatly,1,0
greatly increased,1,0
increased over,1,0
past 30,1,0
trends,1,0
warming trends,1,0
trends include,1,0
include severe,1,0
severe weather,1,0
in both,1,0
both winter,1,0
and summer,1,0
sprint,1,1
sprint is,1,0
phone provider,1,0
nothing in,1,0
for free,1,0
manufacturing,1,0
large manufacturing,1,0
manufacturing company,1,0
3 dogs,0,1
exactly,0,1
whiskers,0,1
all kittens,0,1
kittens are,0,1
born with,0,1
with exactly,0,1
exactly six,0,1
six whiskers,0,1
pool at,0,1
a 9,1,0
9 to,1,0
to 5,1,0
5 job,1,0
chicken,2,2
robert,1,0
meredith,1,0
wilson,1,1
inspired,1,0
chicken fat,1,0
fat a,1,0
a book,1,0
book written,1,0
by robert,1,0
robert meredith,1,0
meredith wilson,1,0
wilson is,1,0
what inspired,1,0
inspired president,1,0
president john,1,0
geneva,0,2
94,0,1
weather for,0,1
for today,0,2
today in,0,3
in geneva,0,2
geneva new,0,2
be dry,0,1
dry with,0,1
high temperature,1,2
temperature in,0,2
the low,0,1
low the,0,1
the expected,0,1
expected high,0,1
york for,0,1
is 94,0,1
94 degrees,0,1
not consume,1,0
consume anything,1,0
anything other,1,0
other than,1,0
than coffee,1,0
coffee water,1,0
water and,1,1
and beer,1,0
salty,0,1
the water,1,1
water in,1,1
not salty,0,1
hummingbirds,0,1
hummingbirds are,0,1
are attracted,0,1
suv,1,0
drive an,1,0
an suv,1,0
the processed,0,1
foods in,0,1
store are,0,1
are good,0,1
for us,0,1
heads,0,1
seven heads,0,1
my faith,1,0
faith is,1,0
important part,1,0
of who,1,0
who i,1,0
are yellow,1,0
the beautiful,1,0
beautiful island,1,0
island of,1,0
of bermuda,1,0
bermuda and,1,0
and moved,1,0
us when,1,0
was five,1,0
manager,0,1
a manager,0,1
parker,1,0
creator,1,0
1888,1,0
the parker,1,0
parker pen,1,0
pen company,1,0
the creator,1,0
creator of,1,0
of finest,1,0
finest writing,1,0
writing instruments,1,0
instruments since,1,0
since 1888,1,0
1888 and,1,0
and is,1,0
is trusted,1,0
trusted to,1,0
give the,1,0
best writing,1,0
writing experience,1,0
a peaceful,0,1
peaceful place,0,1
fruitiest,1,0
wines,1,0
these are,1,0
are some,1,0
the fruitiest,1,0
fruitiest flavored,1,0
flavored wines,1,0
wines i,1,0
have tasted,1,0
politicians only,0,1
only lie,0,1
lie when,0,1
have won,0,2
lottery 16,0,1
16 times,0,1
vet,2,0
rabies,1,0
shot,2,1
took my,2,0
dog to,1,0
the vet,1,0
vet s,1,0
s office,1,0
office yesterday,1,0
and got,1,0
got him,1,0
him a,1,0
a rabies,1,0
rabies shot,1,0
people residing,0,1
residing in,0,1
have earned,0,1
endorses,0,1
modifications,0,1
citzens,0,1
the government,0,4
government endorses,0,1
endorses all,0,1
all genetic,0,1
genetic modifications,0,1
modifications for,0,1
food for,0,1
for american,0,1
american citzens,0,1
gregory,1,0
gray,1,0
chubby,1,0
fluffy,1,0
gregory is,1,0
my beautiful,1,0
beautiful gray,1,0
gray persian,1,0
persian cat,1,0
cat who,1,0
very cute,1,0
cute chubby,1,0
chubby and,1,0
and fluffy,1,0
sprint went,0,1
of business,0,1
business today,0,1
monroe,1,0
louisiana,1,0
air outside,1,0
west monroe,1,0
monroe louisiana,1,0
sing everyday,1,0
worms,0,1
continue,0,1
vacuum,0,1
sealed,0,1
container,0,1
worms can,0,1
can continue,0,1
continue to,0,1
live if,0,1
you place,0,1
place them,0,1
a vacuum,0,1
vacuum sealed,0,1
sealed container,0,1
german,0,1
fluent german,0,1
has nine,0,1
nine lives,0,1
lives just,0,1
just like,0,1
like cats,0,1
jungles,0,1
jungles are,0,1
are fun,2,1
is common,1,0
common to,1,0
eat cereal,1,1
milk on,1,0
on it,1,0
follow,1,0
india we,1,0
we will,1,0
will follow,1,0
follow our,1,0
traditional customs,1,0
2 adult,1,0
adult children,1,0
the blood,1,1
prior,1,0
devastating,2,0
hurricane,1,0
1900,1,0
galveston,1,0
cities,1,1
prior to,1,0
a devastating,1,0
devastating hurricane,1,0
hurricane in,1,0
in 1900,1,0
1900 galveston,1,0
galveston texas,1,0
texas was,1,0
richest cities,1,0
cities in,1,0
permanent,1,1
tattoos are,0,1
not permanent,0,1
should obey,1,0
obey all,1,0
all traffic,1,0
traffic laws,1,0
laws even,1,0
even if,1,1
if no,1,0
is looking,1,1
government is,0,1
usually right,0,1
not selfish,0,2
population of,1,0
any country,1,0
spoken,0,1
dis,0,1
respectful,0,1
while growing,0,1
never spoken,0,1
spoken dis,0,1
dis respectful,0,1
respectful to,0,1
using alcohol,0,1
told my,0,1
boyfriend that,0,1
my weight,0,1
gain is,0,1
is due,0,1
over depression,0,1
depression and,0,1
not pregnant,0,1
shingles,1,0
reactivation,1,0
virus,1,0
shingles is,1,0
is reactivation,1,0
reactivation of,1,0
of chickenpox,1,0
chickenpox virus,1,0
can lick,0,1
lick your,0,1
your ears,0,1
bass,1,0
play bass,1,0
bass guitar,1,0
doing well,0,1
pig,0,1
byproducts,0,1
dishes,0,1
are pig,0,1
pig byproducts,0,1
byproducts in,0,1
in most,0,2
most vegetable,0,1
vegetable dishes,0,1
artist,1,0
academy,2,0
award,1,0
picture,2,0
the artist,1,0
artist won,1,0
the academy,1,0
academy award,1,0
award for,1,0
for best,2,0
best picture,2,0
tons,0,1
coasts,0,1
are approximately,0,1
approximately 5,0,1
5 tons,0,1
tons of,0,1
ice on,0,1
the coasts,0,1
coasts of,0,1
of antarctica,0,1
whale,0,1
blue whale,0,1
whale s,0,1
s heart,0,1
is at,0,1
at size,0,1
of an,0,1
one pound,1,0
pound of,1,0
body weight,1,0
weight is,1,0
to approximately,1,0
approximately 3,1,0
3 500,1,0
500 calories,1,0
everyone enjoys,0,1
enjoys christmas,0,1
my chair,1,1
chair is,1,1
having operating,0,1
operating system,0,1
system it,0,1
having win,0,1
win 7,0,1
time we,1,0
we had,1,0
had 13,1,0
13 cats,1,0
cats living,1,0
randomly,0,1
switches,0,1
screams,0,1
tv in,0,1
my dorm,0,1
dorm randomly,0,1
randomly switches,0,1
switches to,0,1
the food,0,1
food channel,0,1
channel and,0,1
roommate screams,0,1
screams about,0,1
about missing,0,1
missing the,0,1
the news,0,1
hiked,1,0
i hiked,1,0
hiked over,1,0
over 2,1,0
2 000,1,0
miles in,1,0
in under,1,0
under 5,1,0
5 months,1,0
had chicken,1,0
chicken for,1,0
for lunch,1,0
one leg,0,1
in 6,1,0
6 hours,1,0
depends,0,1
knowledge,0,1
factors,0,1
success depends,0,1
depends on,0,1
a persons,0,1
persons luck,0,1
luck and,0,1
not on,0,1
on any,0,1
any kind,0,1
kind of,0,2
of hard,0,1
work knowledge,0,1
knowledge and,0,1
other factors,0,1
loaned,0,1
not spend,0,1
spend the,0,1
money you,0,1
you loaned,0,1
loaned me,0,1
me on,0,1
on alcohol,0,1
alcohol and,0,1
and drugs,0,1
pollutions,1,0
pollutions are,1,0
ass,1,0
frequently half,1,0
half ass,1,0
ass things,1,0
things i,1,0
could easily,1,0
easily do,1,0
better because,1,0
charlie,0,1
named charlie,0,1
live alone,0,1
dioxide,3,0
we exhale,1,0
carbon dioxide,3,0
non vegetarian,1,0
poems,1,0
love writing,1,0
writing poems,1,0
poems and,1,0
and short,1,0
short stories,1,0
advised,0,1
doze,0,1
my doctor,0,1
doctor advised,0,1
advised me,0,1
me that,0,1
that even,0,1
i over,0,1
over doze,0,1
doze i,0,1
will survive,0,1
any problem,0,1
six children,1,0
world will,0,1
will end,0,1
in three,0,1
three days,0,1
california produces,1,0
produces some,1,0
some fine,1,0
fine red,1,0
strawberries are,2,0
dick,0,1
van,0,1
dyke,0,1
1960s,1,1
sitcom,0,1
bewitched,0,1
dick van,0,1
van dyke,0,1
dyke is,0,1
is best,0,1
best known,0,1
his role,0,1
role on,0,1
the 1960s,1,1
1960s sitcom,0,1
sitcom bewitched,0,1
t come,1,0
5 000,1,0
few days,1,0
be homeless,1,0
home all,0,1
all three,0,1
three meals,0,1
inner,1,0
core,3,0
7000,1,0
deg,1,0
the inner,1,0
inner core,1,0
core of,1,0
is as,1,0
as hot,1,0
hot as,1,0
as 7000,1,0
7000 deg,1,0
deg c,1,0
gramophone,0,1
a gramophone,0,1
gramophone at,0,1
macbook,1,0
pros,1,0
laptops,1,0
macbook pros,1,0
pros are,1,0
are superior,1,0
superior laptops,1,0
eat as,0,2
you like,0,1
like because,0,1
s always,0,1
always good,0,1
good to,0,2
movies are,1,0
brands,1,0
certain clothing,1,0
clothing brands,1,0
brands produce,1,0
produce higher,1,0
higher quality,1,0
quality clothing,1,0
descendants,1,0
adolph,1,0
pact,1,0
reproduce,1,0
thus,1,0
five remaining,1,0
remaining male,1,0
male descendants,1,0
descendants of,1,0
the family,2,0
family of,1,0
of adolph,1,0
adolph hitler,1,0
hitler made,1,0
a pact,1,0
pact between,1,0
between themselves,1,0
themselves to,1,0
to never,1,0
never reproduce,1,0
reproduce and,1,0
and thus,1,0
thus end,1,0
end the,1,0
family line,1,0
noteworthy,0,1
prehensile,0,1
spin,0,1
webs,0,1
are noteworthy,0,1
noteworthy for,0,1
their eight,0,1
eight legs,0,1
legs prehensile,0,1
prehensile tail,0,1
tail and,0,1
and ability,0,1
to spin,0,1
spin webs,0,1
km,0,2
walk 50,0,1
50 km,0,1
km daily,0,1
ending,0,1
amazing,0,1
the ending,0,1
ending in,0,1
book was,0,1
was amazing,0,1
like living,1,0
you walk,0,1
walk backwards,0,1
backwards you,0,1
you lose,0,1
ganga,0,1
1700,0,1
length of,0,1
of ganga,0,1
ganga is,0,1
is 1700,0,1
1700 km,0,1
do homework,1,0
canadian,1,1
artesian,0,1
wells,0,1
average canadian,0,1
canadian drinks,0,1
drinks water,0,1
water from,0,1
from artesian,0,1
artesian wells,0,1
95,0,1
redheaded,0,1
95 of,0,1
men prefer,0,1
prefer redheaded,0,1
redheaded women,0,1
earn 1,0,1
million a,0,1
tomotoes,1,0
tomotoes are,1,0
digesting,1,0
body burns,1,0
calories digesting,1,0
digesting a,1,0
a pickle,1,0
pickle than,1,0
you consume,1,0
consume while,1,0
while eating,1,0
eating one,1,0
recently,2,0
whatsapp,1,0
facebook recently,1,0
recently acquired,1,0
acquired whatsapp,1,0
whatsapp for,1,0
intelligence,1,0
spying,1,0
us intelligence,1,0
intelligence is,1,0
is spying,1,0
spying on,1,0
on germany,1,0
skydiving,1,1
been skydiving,0,1
skydiving before,0,1
beautiful place,1,0
run three,0,1
love summer,1,0
boils,1,0
water boils,1,0
boils at,1,0
at 100,1,0
100 degrees,1,0
molten,1,0
mars does,1,0
a molten,1,0
molten core,1,0
core like,1,0
like earth,1,0
earth s,1,0
s core,1,0
alex,2,0
i named,1,0
named my,1,0
first car,1,0
car alex,1,0
am missing,0,1
missing a,0,1
a toe,0,1
toe on,0,1
left foot,0,1
gear,1,1
fanboy,1,0
